Iteration,Loss
0,42863.7734375
1,1350739.5
2,148057.15625
3,287100.5625
4,337410.4375
5,106629.7109375
6,51946.02734375
7,96802.21875
8,89579.421875
9,55890.84765625
10,35676.0859375
11,23409.18359375
12,20282.2578125
13,22409.197265625
14,20561.71875
15,15788.3046875
16,10789.69140625
17,6568.939453125
18,5979.33837890625
19,7251.8701171875
20,6486.044921875
21,6086.111328125
22,5507.7138671875
23,4972.95703125
24,4125.24951171875
25,2619.46533203125
26,2004.62646484375
27,1602.857666015625
28,1757.88330078125
29,1718.6214599609375
30,1758.731689453125
31,1612.7860107421875
32,1778.915283203125
33,1618.5762939453125
34,1499.239501953125
35,1129.9825439453125
36,927.2845458984375
37,675.5724487304688
38,602.3876342773438
39,556.884765625
40,651.3643188476562
41,504.394287109375
42,563.9409790039062
43,646.8372192382812
44,602.8487548828125
45,517.5186767578125
46,421.60479736328125
47,363.16290283203125
48,354.23516845703125
49,261.009765625
50,233.82257080078125
51,233.78182983398438
52,212.75360107421875
53,245.33004760742188
54,235.28375244140625
55,219.60958862304688
56,217.92437744140625
57,189.73291015625
58,213.04107666015625
59,192.8301239013672
60,139.19473266601562
61,142.0460205078125
62,103.6781234741211
63,135.6453857421875
64,96.60073852539062
65,111.49012756347656
66,98.24724578857422
67,100.277587890625
68,90.53131103515625
69,65.17134857177734
70,88.16305541992188
71,59.40216064453125
72,77.61334228515625
73,44.85133361816406
74,24.157991409301758
75,51.46985626220703
76,31.192472457885742
77,59.608062744140625
78,4.749224662780762
79,36.64244842529297
80,29.940948486328125
81,24.174739837646484
82,34.19104766845703
83,36.773948669433594
84,31.967824935913086
85,-2.7188949584960938
86,-13.926973342895508
87,-15.097482681274414
88,-45.57926940917969
89,-11.810833930969238
90,29.417387008666992
91,-10.248861312866211
92,-6.656274795532227
93,-4.864912509918213
94,-45.622413635253906
95,-10.487071990966797
96,-25.954484939575195
97,-44.171260833740234
98,-54.6333122253418
99,-59.36386489868164
100,-35.69242477416992
101,-48.410911560058594
102,-54.01991271972656
103,-63.22669219970703
104,-75.43731689453125
105,-42.86701202392578
106,-45.7344856262207
107,-99.72311401367188
108,-93.04320526123047
109,-60.35892105102539
110,-65.94601440429688
111,-70.32201385498047
112,-75.31199645996094
113,-59.35121536254883
114,-71.19931030273438
115,-86.26365661621094
116,-74.42171478271484
117,-93.74117279052734
118,-102.96501922607422
119,-96.41609191894531
120,-97.6329345703125
121,-97.80500793457031
122,-77.01371765136719
123,-83.90279388427734
124,-104.06829833984375
125,-116.71629333496094
126,-68.22416687011719
127,-109.29679107666016
128,-120.30120849609375
129,-121.8070297241211
130,-105.88963317871094
131,-129.54144287109375
132,-146.54034423828125
133,-129.72955322265625
134,-126.13775634765625
135,-139.29693603515625
136,-133.50608825683594
137,-121.02455139160156
138,-126.01801300048828
139,-86.49787902832031
140,-129.22592163085938
141,-123.96943664550781
142,-117.71380615234375
143,-138.7999267578125
144,-135.1671142578125
145,-116.24887084960938
146,-158.249755859375
147,-120.8347396850586
148,-115.98282623291016
149,-161.00523376464844
150,-154.00506591796875
151,-145.3590850830078
152,-131.87933349609375
153,-135.85841369628906
154,-170.11087036132812
155,-144.5800018310547
156,-155.19552612304688
157,-169.03811645507812
158,-114.958984375
159,-175.0397491455078
160,-132.517822265625
161,-166.59408569335938
162,-151.27780151367188
163,-155.79861450195312
164,-176.90126037597656
165,-152.56063842773438
166,-175.31307983398438
167,-191.6332550048828
168,-171.45416259765625
169,-193.00106811523438
170,-169.41107177734375
171,-191.8723602294922
172,-210.62628173828125
173,-188.19137573242188
174,-180.70755004882812
175,-209.6263885498047
176,-180.35903930664062
177,-212.178955078125
178,-194.17477416992188
179,-192.00714111328125
180,-204.894775390625
181,-211.18067932128906
182,-195.7461395263672
183,-213.6947784423828
184,-215.24978637695312
185,-212.5460205078125
186,-194.019775390625
187,-166.2903594970703
188,-201.89535522460938
189,-215.41549682617188
190,-187.878662109375
191,-209.63922119140625
192,-235.27676391601562
193,-204.30926513671875
194,-225.6659393310547
195,-208.24794006347656
196,-210.38198852539062
197,-222.9926300048828
198,-211.00881958007812
199,-265.87274169921875
200,-258.2059326171875
201,-201.87060546875
202,-242.16082763671875
203,-249.15060424804688
204,-227.59986877441406
205,-222.34886169433594
206,-265.686279296875
207,-230.45394897460938
208,-240.056884765625
209,-249.32896423339844
210,-206.58441162109375
211,-230.0499267578125
212,-233.1892852783203
213,-241.21609497070312
214,-257.1549072265625
215,-251.95428466796875
216,-259.87255859375
217,-246.69700622558594
218,-240.93301391601562
219,-246.83584594726562
220,-231.3881378173828
221,-267.0410461425781
222,-235.45477294921875
223,-280.55804443359375
224,-267.0279541015625
225,-300.154541015625
226,-249.08908081054688
227,-288.87115478515625
228,-290.0579528808594
229,-277.6759033203125
230,-294.53228759765625
231,-302.76995849609375
232,-298.868896484375
233,-270.5038757324219
234,-278.6127624511719
235,-302.35601806640625
236,-290.7476501464844
237,-309.53802490234375
238,-285.5107421875
239,-286.9669494628906
240,-288.49212646484375
241,-301.15533447265625
242,-291.8988037109375
243,-302.4600830078125
244,-285.5057373046875
245,-304.7355041503906
246,-294.0191955566406
247,-307.3707275390625
248,-310.44805908203125
249,-324.40374755859375
250,-308.91571044921875
251,-333.389404296875
252,-318.0419006347656
253,-325.45135498046875
254,-316.14898681640625
255,-303.0397033691406
256,-322.5760498046875
257,-321.69305419921875
258,-282.293701171875
259,-349.9711608886719
260,-345.68341064453125
261,-342.4307556152344
262,-308.0215759277344
263,-332.073974609375
264,-331.1817626953125
265,-337.48394775390625
266,-330.81048583984375
267,-346.877197265625
268,-356.3544921875
269,-312.1397705078125
270,-316.1264953613281
271,-377.60223388671875
272,-351.19378662109375
273,-358.9598388671875
274,-366.3414306640625
275,-352.0382385253906
276,-330.7657165527344
277,-366.2303466796875
278,-357.97235107421875
279,-361.645263671875
280,-397.93109130859375
281,-378.4435119628906
282,-382.1807861328125
283,-387.02105712890625
284,-343.3673095703125
285,-386.8528137207031
286,-363.18914794921875
287,-365.4855651855469
288,-398.58966064453125
289,-396.5667724609375
290,-408.0438537597656
291,-368.46551513671875
292,-396.4576110839844
293,-408.3183288574219
294,-417.695068359375
