Iteration,Loss
0,43851.0859375
1,1189186.25
2,121164.2265625
3,289422.28125
4,295052.125
5,93933.1875
6,57727.3828125
7,88997.15625
8,69014.8125
9,38664.875
10,21267.4140625
11,20318.283203125
12,18618.091796875
13,18324.765625
14,15161.345703125
15,11442.734375
16,6670.5224609375
17,4974.1591796875
18,3821.02734375
19,4762.0419921875
20,5108.5322265625
21,5241.18408203125
22,4714.244140625
23,3583.03662109375
24,1926.0654296875
25,1094.605224609375
26,1092.3974609375
27,1523.2783203125
28,1736.380126953125
29,1637.736328125
30,1203.821533203125
31,914.430419921875
32,653.839599609375
33,518.2393188476562
34,550.2034301757812
35,649.6640625
36,501.49249267578125
37,457.6744689941406
38,400.4544372558594
39,435.35205078125
40,389.76470947265625
41,345.15185546875
42,373.57586669921875
43,269.00732421875
44,208.541259765625
45,169.58453369140625
46,210.31381225585938
47,198.21652221679688
48,192.38604736328125
49,244.9632110595703
50,138.41822814941406
51,141.81747436523438
52,117.22565460205078
53,100.92811584472656
54,83.130615234375
55,119.50445556640625
56,121.87373352050781
57,83.32762908935547
58,106.90181732177734
59,62.00857925415039
60,68.79106140136719
61,57.88527297973633
62,45.879913330078125
63,46.021942138671875
64,38.248985290527344
65,27.52534294128418
66,37.064064025878906
67,40.77974319458008
68,15.71847915649414
69,-2.51348876953125
70,-9.830902099609375
71,-3.748540163040161
72,-5.253685474395752
73,-6.069122314453125
74,-11.535873413085938
75,-14.31921100616455
76,-32.389404296875
77,-21.60982894897461
78,-24.38269805908203
79,-37.060447692871094
80,-32.2995491027832
81,-46.51422882080078
82,-45.62250900268555
83,-36.601707458496094
84,-37.725189208984375
85,-50.02613067626953
86,-68.80194091796875
87,-57.518592834472656
88,-55.724571228027344
89,-70.94242858886719
90,-49.93379592895508
91,-81.26277160644531
92,-64.23304748535156
93,-57.72334289550781
94,-76.87275695800781
95,-73.19796752929688
96,-87.77764129638672
97,-97.02008056640625
98,-91.98225402832031
99,-101.32771301269531
100,-88.22224426269531
101,-79.82490539550781
102,-92.08747863769531
103,-106.04353332519531
104,-120.69139862060547
105,-93.94877624511719
106,-102.91069793701172
107,-90.21248626708984
108,-93.18527221679688
109,-97.60910034179688
110,-115.73681640625
111,-126.14583587646484
112,-124.5331802368164
113,-114.78463745117188
114,-132.12765502929688
115,-123.32575988769531
116,-85.70390319824219
117,-138.6469268798828
118,-158.82916259765625
119,-153.8809814453125
120,-120.43685913085938
121,-148.48297119140625
122,-140.36224365234375
123,-114.23793029785156
124,-146.24069213867188
125,-170.85757446289062
126,-145.6461181640625
127,-135.99850463867188
128,-120.97599029541016
129,-154.81613159179688
130,-135.84323120117188
131,-176.27886962890625
132,-159.4960479736328
133,-169.42208862304688
134,-143.690673828125
135,-165.908935546875
136,-165.15908813476562
137,-172.28164672851562
138,-160.91546630859375
139,-115.03089904785156
140,-169.86346435546875
141,-177.4453887939453
142,-136.2188262939453
143,-168.54544067382812
144,-190.6813507080078
145,-163.97479248046875
146,-169.91827392578125
147,-171.9843292236328
148,-159.70172119140625
149,-187.46469116210938
150,-180.9752655029297
151,-176.8187255859375
152,-177.91944885253906
153,-136.48257446289062
154,-180.84481811523438
155,-197.73731994628906
156,-187.47142028808594
157,-168.58200073242188
158,-201.2821807861328
159,-198.41419982910156
160,-201.98263549804688
161,-188.45809936523438
162,-191.2679901123047
163,-188.67103576660156
164,-209.07789611816406
165,-178.7782745361328
166,-227.05892944335938
167,-211.903564453125
168,-215.16976928710938
169,-210.69512939453125
170,-211.4794158935547
171,-203.84437561035156
172,-213.40667724609375
173,-200.89401245117188
174,-209.24285888671875
175,-225.68643188476562
176,-214.95596313476562
177,-232.1737823486328
178,-226.70309448242188
179,-197.36004638671875
180,-202.53631591796875
181,-220.3908233642578
182,-228.30947875976562
183,-234.0675506591797
184,-222.38946533203125
185,-233.67999267578125
186,-250.45693969726562
187,-193.03184509277344
188,-236.58355712890625
189,-220.4748077392578
190,-236.14109802246094
191,-224.22756958007812
192,-240.91793823242188
193,-231.48773193359375
194,-226.87071228027344
195,-232.38009643554688
196,-259.561279296875
197,-244.48995971679688
198,-222.79254150390625
199,-268.9737548828125
200,-255.29415893554688
201,-261.45941162109375
202,-232.3736572265625
203,-258.50836181640625
204,-236.42710876464844
205,-244.58233642578125
206,-258.570068359375
207,-252.81463623046875
208,-233.74603271484375
209,-253.77554321289062
210,-243.44981384277344
211,-244.05433654785156
212,-246.66757202148438
213,-257.3070373535156
214,-257.116455078125
215,-259.45733642578125
216,-260.7398986816406
217,-266.1430358886719
218,-265.8714599609375
219,-260.13909912109375
220,-275.4610290527344
221,-279.464111328125
222,-255.23483276367188
223,-301.63385009765625
224,-294.799072265625
225,-286.08990478515625
226,-283.4129333496094
227,-296.60858154296875
228,-314.4179992675781
229,-291.4404296875
230,-291.934814453125
231,-310.67193603515625
232,-286.099609375
233,-263.10931396484375
234,-292.32940673828125
235,-321.04656982421875
236,-310.9836120605469
237,-319.547607421875
238,-300.766845703125
239,-294.6805114746094
240,-313.75341796875
241,-319.35577392578125
242,-297.6903076171875
243,-316.646484375
244,-305.6671142578125
245,-316.50531005859375
246,-351.744384765625
247,-315.58441162109375
248,-295.95111083984375
249,-357.6514892578125
250,-303.0944519042969
251,-317.94110107421875
252,-316.6652526855469
253,-325.9664001464844
254,-287.55865478515625
255,-313.1522216796875
256,-333.22161865234375
257,-337.72015380859375
258,-306.9247741699219
259,-330.7362060546875
260,-345.2090759277344
261,-326.20751953125
262,-328.65069580078125
263,-336.77484130859375
264,-329.62078857421875
265,-341.2217102050781
266,-355.66326904296875
267,-364.4335021972656
268,-358.9673767089844
269,-324.64984130859375
270,-350.3072509765625
271,-352.20806884765625
272,-333.60498046875
273,-343.44696044921875
274,-366.63226318359375
275,-372.7159423828125
276,-313.65155029296875
277,-374.72540283203125
278,-333.62860107421875
279,-340.30877685546875
280,-380.4462585449219
281,-364.5650634765625
282,-373.55157470703125
283,-372.61505126953125
284,-328.8232727050781
285,-386.4278564453125
286,-368.8642883300781
287,-372.07159423828125
288,-410.345703125
289,-364.0936584472656
290,-402.24285888671875
291,-383.89532470703125
292,-393.44891357421875
293,-387.39990234375
294,-405.3341064453125
295,-408.16864013671875
296,-392.8597412109375
297,-377.9197998046875
298,-428.050537109375
299,-398.6210021972656
300,-407.0308532714844
301,-402.44976806640625
302,-387.04205322265625
303,-405.050048828125
304,-370.0279846191406
305,-422.58392333984375
306,-396.37109375
307,-381.74615478515625
308,-394.8180847167969
309,-385.4890441894531
310,-430.1047668457031
311,-429.43572998046875
312,-422.34063720703125
313,-409.80596923828125
314,-409.9225769042969
315,-423.46099853515625
316,-428.433837890625
317,-405.52874755859375
318,-452.4262390136719
319,-443.9979553222656
320,-464.4761047363281
321,-453.21038818359375
322,-411.52178955078125
323,-450.3230285644531
324,-418.8468933105469
325,-449.5968933105469
326,-469.9005126953125
327,-409.6928405761719
328,-461.0703430175781
329,-464.921142578125
330,-475.98748779296875
331,-483.03997802734375
332,-459.374755859375
333,-471.27972412109375
334,-491.47003173828125
335,-470.1474609375
336,-495.42669677734375
337,-473.041259765625
338,-494.31500244140625
339,-496.3280029296875
340,-472.4178466796875
341,-497.96319580078125
342,-514.1967163085938
343,-513.1567993164062
344,-515.7174072265625
345,-499.0251770019531
346,-506.2924499511719
347,-521.6304931640625
348,-546.2196655273438
349,-532.272216796875
350,-547.6110229492188
351,-519.3748779296875
352,-550.3885498046875
353,-559.4847412109375
354,-566.55322265625
355,-540.7716064453125
356,-582.4605712890625
357,-562.6339721679688
358,-575.8096923828125
359,-557.8778076171875
360,-560.617431640625
361,-581.3218383789062
362,-574.533935546875
363,-575.2813720703125
364,-594.721923828125
365,-608.60595703125
366,-602.759033203125
367,-604.7711791992188
368,-574.8787841796875
369,-559.5955200195312
370,-587.5765380859375
371,-591.909912109375
372,-594.4736328125
373,-565.1688842773438
374,-605.978515625
375,-605.91259765625
376,-630.487060546875
377,-581.210205078125
378,-643.84619140625
379,-610.6988525390625
380,-604.143310546875
381,-651.0608520507812
382,-637.8267822265625
383,-664.893798828125
384,-652.5482177734375
385,-652.43212890625
386,-638.7801513671875
387,-617.0133056640625
388,-669.0284423828125
389,-644.6124267578125
390,-675.9527587890625
391,-698.23974609375
392,-665.7738037109375
393,-646.64208984375
394,-695.5394287109375
395,-714.3052978515625
396,-697.1387939453125
397,-689.4680786132812
398,-680.7229614257812
399,-695.2984619140625
400,-717.7676391601562
401,-738.0771484375
402,-718.0858154296875
403,-686.758544921875
404,-748.4843139648438
405,-725.9735107421875
406,-675.6082153320312
407,-680.6458740234375
408,-694.3317260742188
409,-778.212158203125
410,-766.59326171875
411,-775.0994873046875
412,-798.0692138671875
413,-782.171630859375
414,-793.9173583984375
415,-720.7384033203125
416,-778.5419921875
417,-761.9759521484375
418,-828.9842529296875
419,-748.3878173828125
420,-826.5743408203125
421,-758.3128662109375
422,-753.8338623046875
423,-797.1475830078125
424,-819.7171630859375
425,-819.8120727539062
426,-866.7484741210938
427,-864.83056640625
428,-875.29052734375
429,-848.2821044921875
430,-873.4189453125
431,-891.2244873046875
432,-849.581787109375
433,-881.238525390625
434,-905.3355712890625
435,-921.2291259765625
436,-901.6640625
437,-902.6076049804688
438,-948.6573486328125
439,-917.7388916015625
440,-921.6824951171875
441,-921.7564697265625
442,-930.152099609375
443,-948.3294677734375
444,-936.1713256835938
445,-991.8267822265625
446,-936.5997924804688
447,-944.7439575195312
448,-951.952880859375
449,-975.0755004882812
450,-1002.3284912109375
451,-976.888916015625
452,-1040.85205078125
453,-1006.3355712890625
454,-1033.6878662109375
455,-1025.77294921875
456,-1016.735595703125
457,-1010.4238891601562
458,-1036.9075927734375
459,-1066.2515869140625
460,-1086.112060546875
461,-1094.5009765625
462,-1059.8941650390625
463,-1095.0689697265625
464,-1080.5230712890625
465,-1078.8988037109375
466,-1068.801025390625
467,-1115.8431396484375
468,-1097.4017333984375
