Iteration,Loss
206,-299.698486328125
207,-264.5661315917969
208,-246.53746032714844
209,-301.638427734375
210,-269.4205627441406
211,-274.3242492675781
212,-283.7860107421875
213,-281.306884765625
214,-284.389404296875
215,-283.46337890625
216,-287.18731689453125
217,-271.71148681640625
218,-277.29290771484375
219,-300.8268737792969
220,-292.0235290527344
221,-320.77197265625
222,-285.8888854980469
223,-319.45318603515625
224,-330.92913818359375
225,-323.3685302734375
226,-288.86944580078125
227,-313.9042053222656
228,-328.067626953125
229,-303.3741149902344
230,-333.5894775390625
231,-335.5572509765625
232,-314.3365478515625
233,-262.522705078125
234,-307.1565856933594
235,-352.9605712890625
236,-327.75347900390625
237,-332.9078369140625
238,-326.4505615234375
239,-326.76434326171875
240,-296.67364501953125
241,-327.7493896484375
242,-318.25762939453125
243,-313.7228698730469
244,-346.3041076660156
245,-318.43267822265625
246,-349.38446044921875
247,-316.609375
248,-331.27081298828125
249,-351.89697265625
250,-313.2302551269531
251,-334.3865966796875
252,-313.7200927734375
253,-341.18084716796875
254,-339.97576904296875
255,-303.86407470703125
256,-355.5599365234375
257,-340.92120361328125
258,-326.03436279296875
259,-332.5567321777344
260,-362.7109680175781
261,-320.25103759765625
262,-322.8651123046875
263,-337.967041015625
264,-317.4099426269531
265,-331.9427185058594
266,-344.32666015625
267,-364.49310302734375
268,-387.84075927734375
269,-343.4345703125
270,-364.062255859375
271,-383.71343994140625
272,-370.6170349121094
273,-376.4774475097656
274,-401.0540771484375
275,-362.42279052734375
276,-316.7811584472656
277,-371.5515441894531
278,-379.1119689941406
279,-357.93310546875
280,-382.4218444824219
281,-383.7325439453125
282,-393.36065673828125
283,-385.6711120605469
284,-359.2666931152344
285,-401.9847412109375
286,-354.1412353515625
287,-391.052001953125
288,-411.823486328125
289,-373.0388488769531
290,-426.75775146484375
291,-368.8289794921875
292,-414.4110107421875
293,-425.8046569824219
294,-414.52978515625
295,-405.1640930175781
296,-411.1927490234375
297,-374.9094543457031
298,-441.0160217285156
299,-383.52825927734375
300,-432.91192626953125
301,-405.2789611816406
302,-365.4197998046875
303,-409.3043212890625
304,-419.26873779296875
305,-423.36822509765625
306,-385.1717529296875
307,-414.3841552734375
308,-415.2987976074219
309,-387.9095458984375
310,-435.1041259765625
311,-452.0218505859375
312,-441.85491943359375
313,-437.72930908203125
314,-404.2799072265625
315,-439.82916259765625
316,-451.8516845703125
317,-403.7367858886719
318,-460.2649841308594
319,-461.731201171875
320,-472.25537109375
321,-449.13311767578125
322,-413.9195556640625
323,-443.08489990234375
324,-448.9650573730469
325,-449.70172119140625
326,-465.34649658203125
327,-403.5256652832031
328,-471.6297607421875
329,-472.5321044921875
330,-478.23358154296875
331,-503.523681640625
332,-468.1672668457031
333,-459.42041015625
334,-498.4296569824219
335,-466.3944091796875
336,-510.46685791015625
337,-477.7589111328125
338,-501.478759765625
339,-492.093505859375
340,-483.70770263671875
341,-512.9777221679688
342,-504.55108642578125
343,-491.0440673828125
344,-508.9739685058594
345,-487.9212341308594
346,-507.65155029296875
347,-522.6663818359375
348,-544.6787109375
349,-518.1047973632812
350,-546.9537353515625
351,-529.25537109375
352,-528.9788818359375
353,-584.21337890625
354,-521.5980224609375
355,-564.8623657226562
356,-549.0325317382812
357,-535.293212890625
358,-558.162841796875
359,-551.7052612304688
360,-552.989501953125
361,-543.1473388671875
362,-541.87744140625
363,-557.7945556640625
364,-561.245849609375
365,-565.43310546875
366,-554.124267578125
367,-585.7977294921875
368,-524.4097290039062
369,-575.5230712890625
370,-549.7490234375
371,-578.919921875
372,-536.1790161132812
373,-576.0391845703125
374,-571.3548583984375
375,-589.9119873046875
376,-583.51953125
377,-591.6356201171875
378,-624.5035400390625
379,-586.543701171875
380,-587.8028564453125
381,-610.1875610351562
382,-643.5814819335938
383,-616.4320068359375
384,-652.3557739257812
385,-621.1922607421875
386,-639.8494873046875
387,-586.6834716796875
388,-618.8045654296875
389,-623.9920654296875
390,-653.2149047851562
391,-652.9012451171875
392,-661.366943359375
393,-623.2581176757812
394,-645.7219848632812
395,-666.5303955078125
396,-650.1588745117188
397,-610.705810546875
398,-649.910400390625
399,-639.7251586914062
400,-669.7676391601562
401,-710.302734375
402,-697.4443359375
403,-679.24072265625
404,-687.1693115234375
405,-703.7283325195312
406,-677.485595703125
407,-720.474853515625
408,-709.5948486328125
409,-713.2911987304688
410,-756.3977661132812
411,-717.960693359375
412,-763.864501953125
413,-730.3463745117188
414,-765.3695068359375
415,-724.779052734375
416,-771.740478515625
417,-749.0823974609375
418,-778.4957275390625
419,-768.39208984375
420,-754.74853515625
421,-750.090576171875
422,-729.9544677734375
423,-756.406494140625
424,-765.88818359375
425,-788.3389892578125
426,-772.1862182617188
427,-784.71630859375
428,-797.3204956054688
429,-766.609619140625
430,-802.2401123046875
431,-830.2059326171875
432,-770.3632202148438
433,-815.2344360351562
434,-818.1259765625
435,-809.8153076171875
436,-809.17041015625
437,-821.741455078125
438,-867.20361328125
439,-836.8179931640625
440,-843.2215576171875
441,-771.1580810546875
442,-889.0971069335938
443,-752.5655517578125
444,-878.89208984375
445,-874.2354736328125
446,-843.2578735351562
447,-863.6770629882812
448,-887.2653198242188
449,-912.9039306640625
450,-899.64697265625
451,-934.8151245117188
452,-928.261962890625
453,-950.6697998046875
454,-914.859375
455,-954.67578125
456,-941.0259399414062
457,-908.5050048828125
458,-928.4525146484375
459,-928.4610595703125
460,-985.7984619140625
461,-920.667724609375
462,-978.158447265625
463,-918.207763671875
464,-997.4086303710938
465,-963.8966674804688
466,-975.72119140625
467,-1038.7978515625
468,-973.6055908203125
469,-1028.1171875
470,-1014.32373046875
471,-1009.3505249023438
472,-998.9993896484375
473,-1038.9637451171875
474,-1068.974853515625
475,-1027.90625
476,-1028.4859619140625
477,-1051.137451171875
478,-1072.54345703125
479,-1118.1749267578125
480,-1088.605224609375
481,-1101.27392578125
482,-1142.806640625
483,-1110.4700927734375
484,-1080.652099609375
485,-1115.3646240234375
486,-1193.26708984375
487,-1154.72900390625
488,-1200.4970703125
489,-1163.5206298828125
490,-1205.564453125
491,-1121.72265625
492,-1155.598388671875
493,-1153.1575927734375
494,-1161.3046875
495,-1158.5797119140625
496,-1204.41455078125
497,-1236.099853515625
498,-1240.952392578125
499,-1285.729736328125
500,-1272.2177734375
501,-1271.439697265625
502,-1292.431640625
503,-1340.948486328125
504,-1285.4996337890625
505,-1318.9124755859375
506,-1332.065185546875
507,-1338.24072265625
508,-1346.739990234375
509,-1347.934326171875
510,-1401.662841796875
511,-1365.871337890625
512,-1378.997802734375
513,-1387.831298828125
514,-1381.499755859375
515,-1396.279296875
516,-1410.517822265625
517,-1421.572998046875
518,-1425.276123046875
519,-1376.19970703125
520,-1479.5028076171875
521,-1378.92041015625
522,-1425.2464599609375
523,-1395.7354736328125
524,-1457.2064208984375
525,-1392.7537841796875
526,-1433.02294921875
527,-1467.49560546875
528,-1464.238037109375
529,-1484.468505859375
530,-1497.5872802734375
531,-1497.97265625
532,-1501.276123046875
533,-1544.4049072265625
534,-1526.1510009765625
535,-1568.6871337890625
536,-1565.0806884765625
537,-1637.510009765625
538,-1614.21484375
539,-1662.603515625
540,-1635.928466796875
541,-1642.518798828125
542,-1687.78564453125
543,-1678.056640625
544,-1683.58203125
545,-1714.6287841796875
546,-1753.93701171875
547,-1739.4669189453125
548,-1753.826171875
549,-1786.884765625
550,-1693.29541015625
551,-1666.5107421875
552,-1797.83056640625
553,-1709.3212890625
554,-1751.327880859375
555,-1825.6868896484375
556,-1745.5013427734375
557,-1799.42041015625
558,-1810.40625
559,-1825.285888671875
560,-1875.97802734375
561,-1845.3740234375
562,-1909.0872802734375
563,-1919.6368408203125
564,-1857.32470703125
565,-1906.9051513671875
566,-1955.5345458984375
567,-1926.0113525390625
568,-1917.3544921875
569,-1913.892822265625
570,-2007.06640625
571,-1906.136962890625
572,-1995.368896484375
573,-1986.2374267578125
574,-2036.9619140625
575,-1976.5299072265625
576,-2031.27685546875
577,-2093.573486328125
578,-2035.456787109375
579,-2090.71630859375
580,-2121.6669921875
581,-2135.456787109375
582,-2156.57568359375
583,-2180.47705078125
584,-2163.057373046875
585,-2183.0615234375
586,-2178.43798828125
587,-2142.32373046875
588,-2245.501953125
589,-2180.22412109375
590,-2280.484619140625
591,-2207.77099609375
592,-2292.818603515625
593,-2292.6484375
594,-2321.042724609375
595,-2308.30859375
596,-2355.9794921875
597,-2353.498779296875
598,-2344.3974609375
599,-2429.6435546875
600,-2372.42626953125
601,-2472.386962890625
602,-2459.016357421875
603,-2429.6005859375
604,-2487.087890625
605,-2494.8720703125
606,-2532.76904296875
607,-2499.87646484375
608,-2579.640625
609,-2576.54736328125
610,-2536.47900390625
611,-2568.490478515625
612,-2583.029296875
613,-2620.37744140625
614,-2573.0791015625
615,-2610.641845703125
616,-2616.81884765625
617,-2652.81298828125
618,-2653.6953125
619,-2643.328857421875
620,-2703.04150390625
621,-2627.790771484375
622,-2697.47216796875
623,-2664.699462890625
624,-2789.566650390625
625,-2698.6787109375
626,-2757.22021484375
627,-2816.668701171875
628,-2824.8740234375
629,-2860.8671875
630,-2856.83349609375
631,-2947.804931640625
632,-2920.98828125
633,-2950.39453125
634,-2979.2509765625
635,-3027.7763671875
636,-3037.73095703125
637,-3023.665771484375
638,-3083.6474609375
639,-2974.02001953125
640,-2864.07421875
641,-3137.35107421875
642,-2871.00732421875
643,-2612.72607421875
644,-2946.98095703125
645,-2617.250732421875
646,-2992.73095703125
647,-3022.21435546875
648,-3021.1611328125
649,-3122.294677734375
650,-3018.224609375
651,-3188.945068359375
652,-3193.205078125
653,-3254.7314453125
654,-3267.73193359375
655,-3330.3525390625
656,-3278.08544921875
657,-3362.447509765625
658,-3327.03173828125
659,-3411.29345703125
660,-3411.0966796875
661,-3477.23291015625
662,-3463.73193359375
663,-3546.205322265625
664,-3537.064208984375
665,-3608.1630859375
666,-3578.750244140625
667,-3590.13232421875
668,-3612.123046875
669,-3654.085205078125
670,-3636.7177734375
671,-3696.9697265625
672,-3726.7734375
673,-3713.5908203125
674,-3791.55029296875
675,-3762.38623046875
676,-3864.35888671875
677,-3844.318115234375
678,-3884.170654296875
679,-3932.69091796875
680,-3888.81201171875
681,-3973.31005859375
682,-3960.588623046875
683,-4033.47607421875
684,-3981.34765625
685,-4085.678466796875
686,-4037.338623046875
687,-4125.296875
688,-4110.28759765625
689,-4166.41552734375
690,-4148.46044921875
691,-4196.74609375
692,-4218.3759765625
693,-4263.1484375
694,-4283.2841796875
695,-4287.578125
696,-4315.2490234375
697,-4341.96875
698,-4364.39111328125
699,-4416.4970703125
700,-4414.78125
701,-4453.5478515625
702,-4497.92724609375
703,-4494.0869140625
704,-4489.5537109375
705,-4530.29443359375
706,-4533.5869140625
707,-4573.2587890625
708,-4657.185546875
709,-4582.2783203125
710,-4595.6298828125
711,-4685.26318359375
712,-4669.8798828125
713,-4704.279296875
714,-4755.6689453125
715,-4752.8408203125
716,-4767.45703125
717,-4831.859375
718,-4837.04833984375
719,-4893.2197265625
720,-4919.77099609375
721,-4920.810546875
722,-4990.24609375
723,-5019.1337890625
724,-5041.92919921875
725,-5092.669921875
726,-5031.1240234375
727,-5135.16796875
728,-5144.3291015625
729,-5179.201171875
730,-5197.64453125
731,-5230.57421875
732,-5231.1943359375
733,-5273.736328125
734,-5330.6201171875
735,-5292.03515625
736,-5311.8603515625
737,-5366.2421875
738,-5435.6103515625
739,-5432.2890625
740,-5430.99462890625
741,-5515.9892578125
742,-5469.306640625
743,-5469.25927734375
744,-5538.0068359375
745,-5584.09716796875
746,-5652.2890625
747,-5631.435546875
748,-5682.85888671875
749,-5751.46728515625
750,-5735.1220703125
751,-5755.43359375
752,-5829.5224609375
753,-5792.9091796875
754,-5888.55126953125
755,-5891.189453125
